09-05 17:50:56.244|DEBUG|Downloader:Downloading string content from https://www.playnite.link/update/stable/10.16/update.json using System.Text.UTF8Encoding encoding.
09-05 17:51:03.836|DEBUG|Downloader:Downloading string content from https://github.com/JosefNemec/PlayniteExtensions/raw/master/manifests/IGDBMetadata_Builtin.yaml using UTF8 encoding.
09-05 17:51:21.505|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
09-05 17:51:21.911|DEBUG|GamesEditor:Using generic controller to start emulated game.
09-05 17:51:22.264|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
09-05 17:51:22.293|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
09-05 17:52:25.722|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 63 seconds.
09-05 17:53:56.446|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
09-05 17:53:56.475|DEBUG|GamesEditor:Using generic controller to start emulated game.
09-05 17:53:56.475|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
09-05 17:53:56.488|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
09-05 19:24:20.428|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 5424 seconds.
09-05 19:24:23.455|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
09-05 19:24:23.455|DEBUG|GamesEditor:Using generic controller to start emulated game.
09-05 19:24:23.455|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
09-05 19:24:23.478|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
09-05 19:32:28.753|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 485 seconds.
